,User,Followers,user_id,Tweet,Retweet_Count,Location,Verified_Account,Retweet
19,augustomalfavon,117,612173739,"RT @El_Universal_Mx: “Exhibir datos confidenciales de un ciudadano violenta el derecho a la privacidad consagrado en la Constitución"", advi…",331,México City ,False,0
20,Betocc2011,827,390393107,"RT @veronikita_soy: Ahora salen con que AMLO infringe la ley al hacer publico lo que obtuvo, ganó, robo, ultrajo por año el loretito. Conte…",23,"Mexico, Distrito Federal",False,0
21,Pimientoconalas,489,468896338,"RT @sopitas: Si la violencia viene desde distintas trincheras, la del poder es cada vez más visible, ahí está el ejemplo del gobernador de…",28,El Universo,False,0
22,JARAMO48,524,120336858,"RT @Miriam_Junne: Dicen que AMLO quiere comprar voluntades cuando hablan de las becas a estudiantes y adultos mayores, ¿Qué pretenden compr…",467,México,False,0
23,nicolasgauvry,1688,425638586,RT @proceso: La Barra Mexicana de Abogados exigió a López Obrador que dé a conocer la fuente de información de la cual tomó para revelar lo…,743,"Huixquilucan, México",False,0
24,DannPS,424,100429279,RT @ClouthierManuel: Lo más grave de la locura de AMLO es que le faltan casi 3 años todavía ! Y la locura del poder es progresiva por lo qu…,302,"S.L.P, Mex",False,0
25,JuanGarzaQ,483,214778004,"Y atacó con todo a Kalimba en entrevistas, mal utilizó su profesión para mal informar, prostituirse al mejor postor y establecer tendencias, hasta invento noticias. Apoyo la libertad de expresión, me caga AMLO, pero en el caso de Loret le toca lo que ha sembrado por años. Ni modo https://t.co/Mf9mI5ADsj",0,Mexico,False,0
26,Trolmalpagado,18847,376606285,"RT @Arouet_V: Attolini dice que sí es de interés público lo que gana Loret. Así la estupidez.

1 AMLO violó la ley 
2 El INAI no puede inve…",148,En tu conciencia ©,False,0
27,JessJsga,173,1078017708,@_El_Cesar_ @lopezobrador_ Apoyo 100% a AMLO.,0,Ayala,False,0
28,Richycamarena,65,230208196,RT @carlosbravoreg: Puedes odiar a Loret. Puedes creer que su periodismo es basura. Puedes creer que lo mueven las peores intenciones y los…,1592,Guadalajara,False,0
29,floress_luiss,488,1084107086009692160,RT @NachoRgz: Mañana comparamos todo el show que andan haciendo en Twitter la derecha y el alcance de los YouTubers pro AMLO sobre @CarlosL…,243,🇲🇽🇺🇿🇦🇷🇹🇷🇭🇳🇩🇪🇪🇨,False,0
30,BomberoSalsero,457,145756576,"RT @HectorRossete: Perdón @AntonioAttolini si no eres México ¿Qué haces aquí? ¿Defender lo indefendible? 

Se llama violación de los derech…",236,Que elegancia la de Francia,False,0
31,claulares5,1962,141407343,"RT @irmoralesl: AMLO dice preocuparse por el abuso de empresas españolas, pero de los asesinos y delincuencia organizada que tantas muertes…",477,"Tijuana, Baja California",False,0
32,Lula_Ruiz,197,145092687,"RT @infobaemexico: Las declaraciones de AMLO prendieron alertas en la inversión española, principalmente la que está los megaproyectos de l…",29,Mexico,False,0
33,mickyjimenez23,83,814203571,"RT @GlodeJo07: El peor crimen que cometió Loret fue robarle a AMLO el show y si algo no tolera el presidente, es que le roben el protagonis…",583,México,False,0
34,InfoWARZ2021,694,1435903720236126216,"RT @QuePocam: @laoctavadigital @lopezobrador_ @CarlosLoret Me pregunto quien entrará primero, AMLO o Loretito molacho.",1,notisistema.com/radiometropoli,False,0
35,knelo83,221,55283029,@CarlosLoret @lopezobrador_ Ni quien te parche #LordMontajes  a mi no me cuentes solo entre a Escuchar como la espuma les brota de la boca… si les duele bien cañón pero ooohhh sorpresa SOMOS MILLONES CON AMLO!!! #AmloElMejorPresidenteDelMundo,0,Mexico,False,0
36,rabagito,105,51484140,"RT @BorisSGomezU: Solidaridad latinoamericana con @CarlosLoret periodista mexicano vilmente atacado, en cadena nacional estatal, por el rég…",1500,Mercy Town,False,0
37,boryz79,77,463851826,"RT @Pajaropolitico: A través de una carta, accionistas de la petrolera Baker Hughes pidieron iniciar una investigación por un posible confl…",541,"Puebla, México",False,0
38,EmmanuelAbs,4,1703496625,RT @proceso: La Barra Mexicana de Abogados exigió a López Obrador que dé a conocer la fuente de información de la cual tomó para revelar lo…,743,"Distrito Federal, México",False,0
39,ricchyli,723,390459971,"RT @chioreya: En definitiva no hay porque creer los montajes de Loret, es obvio que es financiado por interés mezquinos de narcopoliticos y…",94,Cualquier lugar,False,0
40,MariselaGalva10,10,933761022984417280,@CarlosLoret La misma. podredumbre. solo versión hipócrita.... así AMLO 🐭🤡,0,Cd. Mexico ,False,0
41,tigre77,866,87948828,RT @abasave: Es ilegal y antidemocrático que AMLO disponga de información a la que tiene acceso en su carácter de presidente como munición…,933,"Monterrey, Nuevo León",False,0
42,tigerbeat,10253,29283,"RT @ioangrillo: Almost 1 am here in Mexico and I just tuned into almost 50,000 people in this Space on the attack/ implicit threat by Presi…",21,San Francisco,False,0
43,MitsugiBoss,91,79034207,"@CarlosN64914868 @Pablo_Hdez defenderse de qué? de que su dichosa austeridad no existe? de que su teatrito de ser humilde y noble se acabó? 
no son ataques los que hace Loret, son verdades (los contratos son ciertos y la casa del hijo es real)
AMLO se defiende porque fue exhibido como un mentiroso y ladrón",0,"Sendai, Japan",False,0
44,torobon,234,87332763,"RT @Arouet_V: El 1 de diciembre la maquinaria del Estado montó una operación de acarreo para enaltecer a AMLO. Hoy, en Twitter, sin acarreo…",209,'quí 'toy!!,False,0
45,robertol_1,4299,278220552,"RT @LillyTellez: ⚠️ Qué cobarde el presidente López Obrador.

Abusa del poder del estado para violentar los derechos del periodista que exh…",7552,México,False,0
46,neobot33,69,1467580490,"RT @LillyTellez: ⚠️ Qué cobarde el presidente López Obrador.

Abusa del poder del estado para violentar los derechos del periodista que exh…",7552, Cerca de la Central Avionera,False,0
47,EggWithCharal,4811,70582545,RT @Quintana_Troll: 📌México tiene un limite y #AMLO ya lo agotó. #TodosSomosLoret https://t.co/67JTNg9KCg,29,Por ahi' (acento regio),False,0
48,floress_luiss,488,1084107086009692160,"RT @Paulguerra16: ¡Seré breve!
TODOS somos, y apoyamos al presidente AMLO.",80,🇲🇽🇺🇿🇦🇷🇹🇷🇭🇳🇩🇪🇪🇨,False,0
49,Emaanuel2,318,754699514024374273,"RT @Ricky_leaks_: Se puede estar en desacuerdo con AMLO, sin apoyar a Loret y al mismo tiempo estar preocupados por la situación de insegur…",44,CDMX,False,0
50,demetriomoreno,366,116984189,"@sandraguizar @JohnMAckerman @CarlosLoret Ya leiste la nota? Señala que un medio ligado a Mecedonio sin pruebas sólidas quiere descalificar a esta mujer, y por cierto, hay más acusaciones de otras mujeres, pero te gusta apoyar la violacion y la corrupción, ya veo porque sigues a AMLO",0,Mexico City,False,0
51,stratozeta,7,977717598346465281,"@EdsonLopez80 @hdzs2002 @porktendencia @lopezobrador_ Cuando perdieron la mitad de la Ciudad de México, el bastión más leal de AMLO?  XDDDDDD Pinche chairo pendejo ya vete a dormir",0,México,False,0
52,Rodrigol1996,190,127621909,"RT @chavacid13: Mientras periodistas locales han sido asesinados durante años en sexenios pasados y nadie hacia nada, ahora resulta que el…",2,"Cuauhtémoc, Distrito Federal",False,0
53,JASRA1,8211,99715863,"RT @rochaperiodista: Más allá del sueldo de Carlos Loret, AMLO manda el siguiente mensaje: detrás del conductor de Latinus hay poderosos gr…",1527,Plaza de la Constitución No. 2,False,0
54,FJavierGdC,98,2155953385,"AMLO debe estar pasando una mala noche. Con esos asesores que tiene, que se dedican a agacharse, sin decirle que cierta ""información"" puede hacerle incurrir en un delito, es normal que se siga hundiendo a sí mismo. Se rodeó de lamebotas y no tuvo en cuenta a gente capacitada.",0,México,False,0
55,Betocc2011,827,390393107,"RT @patyper: AMLO siempre seguro y risueño. 
Loretito siempre mintiendo e inseguro. https://t.co/WgoSR0BEpP",13,"Mexico, Distrito Federal",False,0
56,andrexmsg,65,134010516,@rbtsal @claudia80001725 @CarlosLoret @latinus_us Que tal está información es real si supiera escribir Presidente AMLO Ganaría lo mismo 😂😂 https://t.co/UAdp2ATzuc,0,En las  Costillas del Error,False,0
57,augustomalfavon,117,612173739,RT @ezshabot: Eso no se hace. Así de sencillo abrazo ⁦@CarlosLoret⁩  https://t.co/MzWMfoFcNs,425,México City ,False,0
58,JARAMO48,524,120336858,"RT @epigmenioibarra: Pregunto a Loret
Y?
A cómo los montajes con García Luna?
A cuanto las alabanzas a Calderón y a Peña?
Y por callar ante…",2673,México,False,0
59,fcomeda,737,131713132,"RT @SinLinea_Mx: Mientras la oposición y la prensa conservadora llora en redes, por Carlos Loret.
Allá afuera, el pueblo está con AMLO.
#Ch…",270,"Cd. Juárez, Chihuahua, México",False,0
60,hectorsandovalm,339,82629820,"RT @Vianeicita: AMLO es el primer presidente que vela por el pueblo, y probablemente mis ojos no alcancen a ver a otro como él, así q con é…",75,CDMX,False,0
61,PinkyPunkita,291,117496249,"RT @vampipe: Si está de acuerdo con lo que hizo AMLO hoy:

🚩🚩🚩🚩🚩",1092,"México,D.F.",False,0
62,chapiss7319,663,3144787723,"RT @sevillacritico: Ya casi termina el día y ni Televisa, ni Radiopolis, ni The Washington Post, ni LatinUS, ni El Universal han desmentido…",742,"Chicago, IL",False,0
63,quimeraXXY,1373,710254733936697345,"RT @BorisSGomezU: Solidaridad latinoamericana con @CarlosLoret periodista mexicano vilmente atacado, en cadena nacional estatal, por el rég…",1500,Tercer planeta del S. Solar,False,0
64,alfzapatmtz,26,404244693,"RT @neoliberalover: Si AMLO gana 2 millones 11 mil pesos al año, ¿Cuántos años con el sueldo de Andrés Manuel se necesitan para comprar la…",975,Mexico,False,0
65,rdsanchezibarra,37,83983470,"RT @Arouet_V: El 1 de diciembre la maquinaria del Estado montó una operación de acarreo para enaltecer a AMLO. Hoy, en Twitter, sin acarreo…",209,"Zapotlán el Grande, Jalisco",False,0
66,MauriceVignett,249,528155730,"RT @Navegaciones: ""La integridad física de Loret está en peligro"".
Claro. Como cuado AMLO le golpeó la nariz con su rasho laser 🙄
https://t…",27,México,False,0
67,EPlPHANYST,383,1286086941348212737,@jkooksgrlf amLO,0,wong kunhang,False,0
68,fnavi9,91,108919088,"@CarlosLoret Otra cosa pedazo de basura ,antes no te investigaban,si el gobierno no le gustaba te mandaban a matar y dale gracias a amlo que asi como solo te expone y te investigara  no reacciona de otra manera ,pero tu disque periodismo es basura solamente y te repito eres una lamebotas",0,monterrey mexico,False,0
69,Schillerpark0,1961,1264222684583391232,"@HernanGomezB @lopezobrador_ Hasta que un presidente les está haciendo frente a los que con calumnias y marrullerias doblegaban gobiernos
Creían que podrían con AMLO.....
No somos obradoristas religiosos 
Somos pueblo que quiere que ésto ya cambie
No más periodismo sicario",0,Fiji,False,0
70,el_dansk,367,1324420717631463430,"@Alduxxx_1983 @MasterDavidSG @Erickisback1 @monerohernandez @MalthusGamba Jajajajaj mira, AMLO pierde más que Loret, una vez más Loret está ganando. Está controlando la agenda nacional, pero esto perjudica al gobierno. Se está viendo chiquito! Está quedando mal a nivel mundial el presidente",0,Mexico-Dinamarca,False,0
71,KenitaAlvarez1,177,1067162385662791685,RT @sabio28: Más de 40 mil mexicanos unidos esta noche en #TwitterSpaces en apoyo a la persecución de los periodistas en el país. La exhibi…,21,Kuba,False,0
72,76danmex,306,709718136,"RT @sevillacritico: Ya casi termina el día y ni Televisa, ni Radiopolis, ni The Washington Post, ni LatinUS, ni El Universal han desmentido…",742,"mel,australia",False,0
73,pgtecnol,1470,184666653,"RT @ChicShion: Reportero: Que opina de las reacciones por exhibir a Loret Presidente.

AMLO: Que es bueno el debate.

Como siempre, AMLO di…",9,En Edo Mex y en CDMX. ,False,0
74,casimiro_leo,52,2388334374,@CarlosLoret AMLO va por ti espurio. https://t.co/eUji5BFraG,0,"Chilpancingo de los Bravo, Gue",False,0
75,DGGC2,171,346357808,RT @MXvsCORRUPCION: Aquí puedes leer nuestra investigación completa https://t.co/84IrBYwkdM,1115,Planeta Tierra,False,0
76,ElPoderdelaInfo,17376,420763956,"RT @ChicShion: Reportero: Que opina de las reacciones por exhibir a Loret Presidente.

AMLO: Que es bueno el debate.

Como siempre, AMLO di…",9,Querétaro,False,0
77,chelogalanmx,1568,3298246386,Qué cagado que lo más fuerte que ha logrado la oposición en todo el sexenio de AMLO se traduce en un Twitter Space 😔💀 https://t.co/0YVGrAcTbo,0,"Monterrey, Nuevo León",False,0
78,InfoWARZ2021,694,1435903720236126216,"RT @InfoWARZ2021: @laoctavadigital @lopezobrador_ @CarlosLoret @RloretdeM1 @RloretdeM1 @CarlosLoret @epigmenioibarra

Pregunto a Loret
Y?
A…",1,notisistema.com/radiometropoli,False,0
79,Charlesarmont,253,80469186,"RT @ChicShion: Reportero: Que opina de las reacciones por exhibir a Loret Presidente.

AMLO: Que es bueno el debate.

Como siempre, AMLO di…",9,"Sonora, México",False,0
80,_LucyRico_,218,101602901,RT @El_Universal_Mx: Lo que vimos hoy cruzó la frontera; AMLO puso a mi familia a merced de la delincuencia: Loret de Mola https://t.co/RsX…,328,En tu TL,False,0
81,RAMMSTILL,186,114978476,"RT @proceso: W Radio, The Washington Post y Latinus, medios en los que colabora Carlos Loret de Mola, criticaron el acto de intimidación y…",542,¡Aquí y en todas partes!,False,0
82,baldo618,2509,164897326,RT @Raulortegamora: Yo soy uno de los 50 millones que apoyamos a AMLO no estás solo,1,"Mexico,Monterrey,Nuevo Leon",False,0
83,fvazquezrig,34220,264217850,"RT @fvazquezrig: López Obrador, acorralado, inflama el escándalo de la ostentación y fortuna de su hijo.

Usa a Hacienda para atacar a Lore…",106,"México DF, Veracruz, Xalapa",False,0
84,LMoron58,41,1212068838776328192,"RT @andreucomas14: El enemigo #1 de la educación es AMLO, el enemigo #1 de la salud es AMLO, el enemigo #1 de la ciencia es AMLO, el enemig…",201,"Sinaloa, México",False,0
85,JoseFra15214068,15,1042129257529466881,"RT @Radio_Formula: Numerosos periodistas se unieron en muestras de solidaridad hacia Carlos Loret de Mola bajo el #TodosSomosLoret

https:/…",694,"Colima, México",False,0
86,fvazquezrig,34220,264217850,"RT @fvazquezrig: Crece crisis de la #MansiondelBienestar de Houston que regenteó José Ramón López Beltrán. 

Accionistas de #BakerHughes de…",45,"México DF, Veracruz, Xalapa",False,0
87,JorgeAS09393178,486,1133842484474384384,RT @El_Universal_Mx: Lo que vimos hoy cruzó la frontera; AMLO puso a mi familia a merced de la delincuencia: Loret de Mola https://t.co/RsX…,328,Planeta Tierra,False,0
88,rafarojas88,388,120126963,RT @ezshabot: Eso no se hace. Así de sencillo abrazo ⁦@CarlosLoret⁩  https://t.co/MzWMfoFcNs,425,"Zapopan, Jalisco",False,0
89,PabloAr79006828,1211,1175581870001725440,RT @El_Universal_Mx: Lo que vimos hoy cruzó la frontera; AMLO puso a mi familia a merced de la delincuencia: Loret de Mola https://t.co/RsX…,328,Cdmx,False,0
90,lachicapasteles,3,1428105864142000128,"RT @JoseUrioste_: — ""No somos iguales"" dice #AMLO. Por supuesto señor López, eso ya está más que claro!!!

#LopezElCorruptoEresTu
#AmloMora…",829,Mexico,False,0
91,Tikitig,156,162111562,"RT @El_Universal_Mx: “Exhibir datos confidenciales de un ciudadano violenta el derecho a la privacidad consagrado en la Constitución"", advi…",331,Mexico,False,0
92,griseldad67,41,955231851681079296,Vete a la Verga amlo.,0,"Mexico,Monterrey, Nuevo León ",False,0
93,Mamonymex,11281,988959603181400064,"RT @ChicShion: Reportero: Que opina de las reacciones por exhibir a Loret Presidente.

AMLO: Que es bueno el debate.

Como siempre, AMLO di…",9,"Somos locales, somos globales.",False,0
94,SArmendriz,429,2317705669,https://t.co/VWYkp4rRHM,0,"Ciudad Juárez, Chih. México",False,0
95,OrtizRegal,1359,809938624695279616,"RT @patyper: Televisa, Latinus, radiopolis no van a negar que le dieron  todos esos millones a loretito? 
AMLO nunca miente !",45,Tequesquitlan jal.,False,0
96,HEPERCO,219,41687330,"@rikymoreno Con razón apoya ciegamente a AMLO, es chayotero",0,"ÜT: 20.614647,-87.098393",False,0
97,artmonreal,1206,490514832,"RT @ChicShion: Reportero: Que opina de las reacciones por exhibir a Loret Presidente.

AMLO: Que es bueno el debate.

Como siempre, AMLO di…",9,México,False,0
98,JorgeAS09393178,486,1133842484474384384,RT @proceso: La Barra Mexicana de Abogados exigió a López Obrador que dé a conocer la fuente de información de la cual tomó para revelar lo…,743,Planeta Tierra,False,0
99,elisaragon7,646,116929442,"RT @neoliberalover: Si AMLO gana 2 millones 11 mil pesos al año, ¿Cuántos años con el sueldo de Andrés Manuel se necesitan para comprar la…",975,"TUXTLA GUTIERREZ, CHIAPAS",False,0
100,pottertaker,189,152048741,RT @Antonius2L: Levanta más la humillación en el Space a Attolini que el pedorro hashtag Todos somos AMLO. https://t.co/RhbyNq7r6M,1,"Distrito Federal, México",False,0
101,icazbal,13,190666587,@Radio_Formula Más de el 60 por ciento de los Mexicanos SOMOS AMLO y estamos con el,0,mexico,False,0
102,AndresRepper,3454,142353596,"@leonardotoledo ¡Pero si son una ternura! Yo encantado de ayudarles con su deformidad cognitiva contaminada por su infantil animadversión raciclasista hacia AMLO. Que no sean montoneros, que se vengan de 7 en 7",0,México,False,0
103,56_Numa,53,1243614880776605696,RT @ORTEGAYASOC: Barra de Abogados pide a AMLO aclarar de dónde sacó los datos de Loret ante riesgo de violar secreto fiscal https://t.co/E…,1,Mexico,False,0
104,EduardoZavalaS1,682,1192230537311731712,"RT @CitlaliGrande: ELLOS SOLTABAN EL TRANCAZO LOS VIERNES Y AMLO SE IBA A TRABAJAR, HOY AMLO SOLTO EL MADRAZO Y COMENZARON A LLORAR; UH NI…",51,Ciudad De México,False,0
105,rolamister,889,3689619972,"RT @marcearmenta: Me da el mismo asco la oposición que AMLO, porque estando ellos en el poder harían exactamente lo mismo que el viejillo l…",13,"México, Monterrey",False,0
106,alaramun,242,2423953244,"RT @KrlitoBrigante: Lo que hizo hoy @lopezobrador_ es inaudito, rebasó todo aquello que nadie pensamos realmente que pudiera hacer, pero se…",1012,Jarocho,False,0
107,simon_ulises,2070,1869409050,"RT @TheBigLudwig: Antes que Loret lanzará su típica fake de los viernes que solo sobrevive los fines de semana dado que no hay mañanera, AM…",35,"Baja California, México",False,0
108,jimmycortes98,161,1300858069,"Mucho político que en el pasado tuvieron cargos muy destacables para realmente concretar en lo que ahora pregonan y que se lavan las manos en el Space ""diciendo que con el wey amlo empezamos a estar de la chingada """,0,México,False,0
109,PacoEstevez,209,135249794,RT @MaguMonero: ¿Qué opinan los españoles que viven en México sobre la pausa que propone AMLO?   https://t.co/NDnHzBQm4C a través de @El_Un…,2,Mexico City,False,0
110,FRANZERNET,645,720253287786786816,RT @PabloMtzDelCam1: @venividiviperi @julioastillero @lopezobrador_ @CarlosLoret Loret tiene todo el poder de los medios y el financiamient…,1,"México, CDMX",False,0
111,alitamighela,1192,266228055,"RT @latinus_us: INAI pide a servidores públicos respetar la ley ante difusión de datos personales de Loret por AMLO.
#Latinus #InformaciónP…",199,"San Diego, CA",False,0
112,diegodelpaso,63,127950377,"RT @GlodeJo07: “El presidente está enfurecido y hoy demostró que quiere utilizar todo el peso del Estado, todo su inmenso poder, para ataca…",893,"Cancun, Mexico",False,0
113,hectorsandovalm,339,82629820,"RT @ChicShion: Reportero: Que opina de las reacciones por exhibir a Loret Presidente.

AMLO: Que es bueno el debate.

Como siempre, AMLO di…",9,CDMX,False,0
114,EdwardEmery20,594,890325804063883265,"@AbulonEl @vian_cosadivina @HernanGomezB @lopezobrador_ No le cuesta nada decir de que vive. Es más, aunque fuera un mantenido hijo de papi, mientras se demuestre que no ha salido nada de su fortuna del erario, ya con eso callaría bocas; el problema es que su silencio, mientras más pasen los días y más se meta AMLO, degrada las cosas.",0,"Benito Juárez, Distrito Federa",False,0
115,EduardoZavalaS1,682,1192230537311731712,"RT @rochaperiodista: Más allá del sueldo de Carlos Loret, AMLO manda el siguiente mensaje: detrás del conductor de Latinus hay poderosos gr…",1527,Ciudad De México,False,0
116,MaricelaGmez,3832,440558406,"RT @Mike_Oviedo: Si AMLO fuera un “dictador”, ya hubieran despedido y cancelado los espacios en radio de Loret de Mola, como pasó en su mom…",707,"Morelos, México",False,0
117,augustomalfavon,117,612173739,RT @proceso: La Barra Mexicana de Abogados exigió a López Obrador que dé a conocer la fuente de información de la cual tomó para revelar lo…,743,México City ,False,0
118,Pavelgloria,48,270661393,"RT @chioreya: Piensen ….por lógica, todos aquellos q han visto afectadas sus “ganancias” q obtenían al privilegio y amparo del poder, son l…",154,"Saltillo, Coahuila de Zaragoza",False,0
119,PRguez80,1961,1140442815660535810,"RT @ChicShion: Loret se metió hasta la casa de un hijo de AMLO con drones, difundieron un video del hijo menor de AMLO, la derecha estaba e…",855,United States,False,0
120,Ctrl_Alt_V,362,292588973,RT @HazzimIO: Y pensar que AMLO es solo un síntoma de cómo se comportarían millones de mexicanos con algo de poder 😒,7, T'hó | Ichcanzihó,False,0
121,AbrahamReyesFa1,410,1349582752031543296,RT @Alemn14G: @HernanGomezB @lopezobrador_ Resulta muy mamón de tu parte partir del hecho inamovible de un error. Piensa esto: AMLO es much…,1,México🍊🍌🍉🍋,False,0
122,pgtecnol,1470,184666653,"@HernanGomezB @lopezobrador_ No, considero que AMLO fué necesariamente rudo. 

Jugada ruda pero limpia.    Loret de Mola tiene que aclarar si el dinero que lo financia proviene de fuentes licitas o ilicitas.  Hay sospechas de que Silvano Aureoles desvio dinero para Latinus.    México tiene derecho a saber.",0,En Edo Mex y en CDMX. ,False,0
123,afbello,158,187338699,"RT @chioreya: Piensen ….por lógica, todos aquellos q han visto afectadas sus “ganancias” q obtenían al privilegio y amparo del poder, son l…",154,Mexico,False,0
124,alitamighela,1192,266228055,"RT @latinus_us: Grupo de accionistas de Baker Hughes exigen a la petrolera investigar conflicto de interés por casas de hijo de AMLO.
#Lati…",688,"San Diego, CA",False,0
125,felix_skh21,165,3221075095,RT @Matador08640286: Que viva AMLO y que chingue sumadre la oposición Mierdera y sus derechangos,1,Tamaulipas,False,0
126,DiegoRo11682944,1,1017284986460868608,"@CarlosLoret Mira televisa solo a echo que no creamos tanto en periodistas porque se lo han ganado,con noticias falsas, pero nuestro presidente también veo que está con Delirios de persecución. Está vez,estoy de tu lado ya que amlo está exponiendo datos que por la poca seguridad no es bueno .",0,"Hermosillo, Sonora",False,0
127,reyeslourdes,10205,149039647,RT @proceso: La Barra Mexicana de Abogados exigió a López Obrador que dé a conocer la fuente de información de la cual tomó para revelar lo…,743,En el mundo,False,0
128,iliannns,31,1065108909784879104,"RT @GlodeJo07: AMLO:

El candidato que NUNCA pudo ser Presidente de México… a pesar de que ganó la elección.",4667,"Mexico, ME",False,0
129,_HugOlmedo_,605,163296647,"Después de esto, seguir defendiendo a AMLO, es apoyar la censura y sobre todo la opresión de la libertad de expresión. 

Día a día periodistas son asesinados. Ahí hasta “de luto” se ponen. Pero su ídolo ventila información confidencial que puede comprometer la seguridad. ——&gt;",0,Ciudad de México,False,0
130,troyanmx,58,733969377775616000,"RT @atameAti: @Milenio @jairocalixto Justo  uabdo AMLO da a conocer los excesivos ingresos de Carlos Loret, salió este troll de Chumel con…",5,"Houston, TX",False,0
131,lizabetha_liz,162,910380511645896706,"RT @HectorRossete: Perdón @AntonioAttolini si no eres México ¿Qué haces aquí? ¿Defender lo indefendible? 

Se llama violación de los derech…",236,CDMX,False,0
132,albertodevmx,386,87774999,"@MexiMost @AntonioAttolini @CarlosLoret @SocCivilMx Sí, pero creo que no está en juego la legalidad si no la opinión pública.   AMLO sabía que era ilegal pero confía en el respaldo de la gente.  Si les compramos la ""era mentira"" se olvidará más rápido que las 6 muertes de reporteros.",0,México,False,0
133,GuillerminaBon6,100,749671540753477632,"@Eltiotonysoy @CarlosLoret @_30JR40_ @lopezobrador_ Resulta que AMLO trasgredió la ley y si los datos q presento son falsos entonces  es mentiroso? Y esto en el Ejecutivo no debe ser tolerable, tan sencillo como quedarse callado o transparentar el conflicto de interés",0,"Tijuana, Baja California",False,0
